Specimen: 1	Specimen: 1	Specimen: 2	Specimen: 2	Specimen: 3	Specimen: 3	Specimen: 4	Specimen: 4	Specimen: 5	Specimen: 5	Specimen: 6	Specimen: 6	Specimen: 7	Specimen: 7	Specimen: 8	Specimen: 8	Specimen: 9	Specimen: 9
Displacement Into Surface	Load On Sample	Displacement Into Surface	Load On Sample	Displacement Into Surface	Load On Sample	Displacement Into Surface	Load On Sample	Displacement Into Surface	Load On Sample	Displacement Into Surface	Load On Sample	Displacement Into Surface	Load On Sample	Displacement Into Surface	Load On Sample	Displacement Into Surface	Load On Sample
nm	mN	nm	mN	nm	mN	nm	mN	nm	mN	nm	mN	nm	mN	nm	mN	nm	mN
900.4447063	96.77287827	890.0267708	96.018679	890.5153051	96.00889353	889.2320122	95.97953157	893.9314986	95.98896436	887.7212001	95.97968136	885.1155917	95.97990541	887.5892189	96.00907642	882.8204857	94.0383753
907.6666926	98.34131372	899.2817615	97.97429959	900.2190663	97.96937904	898.9038684	97.94001925	903.8044352	97.94943489	898.0186347	97.94011483	893.8462283	97.94047533	896.6628141	97.96961605	892.0146365	95.99890475
910.5359835	98.38029065	901.2370265	98.36149196	902.0301606	98.36148744	899.5194739	98.33223167	905.7642472	98.34153031	899.5551975	98.33224707	896.0283545	98.33255127	898.8127056	98.3616948	901.3127474	97.95942504
911.8496825	98.38017627	904.0506992	98.4004735	904.849337	98.38085536	902.0952531	98.36142728	907.6347048	98.3707874	902.0671663	98.36144835	898.0356417	98.3519898	901.2576859	98.39090179	902.999832	98.35154412
912.648359	98.38010679	905.144725	98.40037823	906.7931574	98.38068622	903.9215281	98.3612683	910.2194933	98.37056233	903.975343	98.3612822	900.2886041	98.35179368	902.2545675	98.39081494	905.7590743	98.38072379
913.2003446	98.38005877	905.4491801	98.40035167	907.7554264	98.38060243	904.4131678	98.36122549	911.2255181	98.37047486	903.9536782	98.3612841	900.4041302	98.35178357	902.9382488	98.39075539	906.7461691	98.38063789
913.5608579	98.38002736	906.0426372	98.40029994	907.9747597	98.38058339	904.3411605	98.36123178	910.5255302	98.37053577	904.6548659	98.36122301	900.2378336	98.35179801	902.9887271	98.39075097	908.2789782	98.38050438
913.8869492	98.379999	906.4603983	98.4002636	908.2528968	98.38055918	904.3795878	98.36122848	911.354428	98.37046362	905.6909465	98.36113289	900.5053863	98.3517748	903.2306723	98.39072987	908.3431606	98.38049881
913.7304158	98.38001263	906.8064466	98.40023349	908.5475277	98.38053355	905.0060438	98.36117395	911.9430927	98.37041242	905.5817936	98.36114235	900.5764519	98.35176858	903.0814371	98.39074292	909.1423734	98.38042914
913.4720507	98.38003511	907.2901832	98.40019136	909.7457284	98.3804293	903.9860194	98.36126277	912.3804464	98.37037435	905.7974941	98.36112365	901.6679593	98.35167344	903.9698515	98.3906655	909.6246266	98.3803872
